English,Kikuyu
Saplings should be planted in their nursery container at the same depth they were growing.,Mbegū cīa kūmerithia ibatiī kūhandwo na ūriku ūiganaine na harīa ūrakinyīte.
It would be best if you planted seeds about 1/2 inch deep.,Nīkwagīrīire ūhande mūngūrwa waku na ūriku wa nuthu iji.
"Saplings might need staking for support as they grow, especially in an area with strong winds.",Kūhanda mūngūrwa rīmwe nīkūbataraga kuhandīrwo tūmītī twa kwīnyitīīrīra mūno kūndu kwīna rūhuho rūungī
How many mango trees can be planted in one īka?,Ubatiī kūhanda mīembe īigana harī īka īmwe
"Depending on varieties and the area climatic conditions, spacing of 8 -12m × 8-12m is recommended giving a population of 36 – 70 trees per īka.","Kūringana na mūthemba na rīera, ūtaganu wa mita 8-12 gwa 8-12 nīguo ūbatiī kūhanda mītī 36 nginya 70 īka īmwe."
What are the economic Importance of Mangoes?,Maembe makoragwo na ūguni ūrīko kībiacara?
"Consumed as fresh fruits
Source of income",Mahūthagīrwo guthondeka juice.
Source of foreign exchange,Kūrehe mbeca cia mabūrūri ma naja.
Source of employment,Nī matūmaga andū magīe mawīra.
Combats nutritional disorders,Nī irio njega ona hīndī ya ndwari
Mango to health benefits are;,Nī marī ūguni mūnene mwīrī-inī.
High in antioxidants that protect your cells against free radical damage.,Nī marī indo cia bata iria itūmaga mwīrī ūhote gwītiria mogarūrūku ma hi na hi.
Scientific research confirms that radical damage leads to signs of aging and chronic diseases such as cancer.,ūthuthuria nī wonanītie atī mogarūrūku ma hi na hi nī matūmaga mūndū oneke arī mūkūrū makīrīa ona kūrehe mīrimū ta cancer
Mango is a great source of immune-boosting nutrients.,Maembe nī marī indo itūhotithagia mwīrī kūrūa na mīrimū.
"It is a good source of several B vitamins, as well as vitamins A, C, E, and K- all of which help boost your immunity.","Maembe ni marī vitamin B,A,C,E na K ciothe nīirīmandini magiragia mwīrīkūgūmirwo nīmīrimu"
"Mangiferin, an antioxidant found in mangoes, may protect heart cells against inflammation, apoptosis (controlled cell death), and oxidative stress.","Mangiferin, īrīa yumaga kūrīembe nī īteithagīrīria mīrimū ya ngoro,na kūgirīrīria gūkua gwa cells na stress irīa irehagwo nī wagi wa rīera thīinī wa cells."
It also contains a group of digestive enzymes called amylase.,Ningī nīīrī na gīkundi kīa enzyme cia gūthea irio ciītagwo amylase.
"Moreover, water and dietary fiber in the fruit aid digestive health.","Makīria ma ūguo, maaī na baimba īrīa ī thīinī wa matunda nīīteithagia mwīrī gūthīa irio."
The enzymes break down large food molecules for easy absorption.,Enzymes iteithagia kūnyihia tūcunjī tūrīa tūnene twa irio nīguo mwīrī ūhote gūcihūthīra wega.
Why sort mango fruits?,Nīkīī kīngītūma tūthuranie maembe?
"Fruits are sorted to remove diseased, misshaped, immature fruits, bruised fruits and any foreign material","Matunda mathuranagio na njīra ya kweheria marīa marwaru, marīa matarī na mūhianīre mwega, marīa matarī makūrū, marīa menanguraro, na kīndū o gīothe kīngī gītabatiī gūkorwo thīinī wamo."
How do you grade mango fruits?,Maembe macagūranagio na irathi atīa?
Grade mangoes based on the standard criteria accepted by the industry.,Maembe macagūranagio na irathi kūringana na ithimi iria ciītīkīrītwo cia thoko.
"Three standard mass grades can be set as: large (over 300 g), medium (150–300 g) and small (below 150 g).","Irathi ithatū no ithondekwo hamwe na: Manene (maritū gūkīra gramu 300), Ūritū wa gatagatī(gramu 150-300) na manini (ūritū ūnyihīire gram 150)."
Minimal defects such as wind scar and latex stain may be accepted.,Mawathe manini nīmetīkīrikaga ta ironda nīūndū wa rūhuho na mīcoora ya methina
"Fruits are graded according to size, colour and texture (class I and II).","Maembe maigagwo na irathi cia ūnene, rangi na ūrīa mahana(kīrathi kīa I na II)"
What is the best way to transport mango fruits?,Njīra njega ya gūkua maembe nī īrīkū?
Use covered vehicles to avoid direct sunlight heat which cause damage to the fruits.,Hūthīra ngari irīa ngunīke nīguo ūhote gwīthema ūrugarī wa riūa ūrīa ūngīthūkia maembe.
Minimize fruits contact with soil to avoid contamination that causes decay and safety concerns.,Tigīrīra atī maembe matirahutania na tīīri nīguo matigabuthe kana kūrehe ūgwati mīrīre-inī.
Use clean plastic crates for fruit transportation. Refrigeration is encouraged,"Hūthīra mathandūkū matheru ma plastīki rīrīa ūrakua matunda. Kūngīhoteka, ūhehia ngari īrīa īramakua."
How do you store mango fruits?,Maembe maigagwo atīa?
Use clean crates during storage. Mango can be stored under refrigeration at 12˚C.,Hūthīra mathandūkū matheru rīrīa ūramaiga. Maembe no maigwo thīinī wa friji īrī na ūrugarī wa gīthimo kia digirii 12 ̊C.
Separate ripe from unripe mangoes and other ripe fruits to slow down ripening by reducing exposure to ethylene.,Amūrania maembe marīa meru na marīa matarī meru na matunda mangī marīa marīkītie kwīīruha nīguo matikeruhanie naihenya nīūndū wa ethylene.
What are the benefits of treating mango fruits using hot water?,Nī ūguni ūrīkū ūrehagwo nī ūhūthīri wa maaī mahiū kūhonia maembe mīrimū?
"Mango hot water treatment involve immersing mango fruit in water bath at temperature of 46.1 0C for 68, 75 and 84 min depending on variety.","Maembe maikagio thīinī wa maaī mahiū marī na ūrugarī wa digirii 46.1oC kwa dagīka 68, 75 na 84 kūringana na mūthemba."
Hot water treatment is used to minimize fruit fly damage by killing the egg and also for control of anthracnose and stem end rot on harvested fruits.,Ūhūthīri wa maaī mahiū ūteithagia kūnyihia tūtambi mūthemba wa fruit fly na njīra ya kūūraga matumbī ma tuo na ningī kūhonia mīrimū ya anthracnose na kūbutha mīkori ya maembe matuo.
"What are the features (yields, average weight and flavor) of Ngowe mango variety?","Nī ngumo irīkū (cia maciaro, ūritū na mūcamo) ikoragwo na maembe mūthemba wa Ngowe?"
Ngowe or the Lamu mango is the common mango cultivar along the Kenyan coast.,"Ngowe īrīa yūīkaine ta iembe rīa Lamu, nī īmwe ya mīthemba ya maembe īrīa īkūragio mwena wa gīcua-inī gīa Kenya."
"They prefer sandy, well-drained soils and can survive with little rainfall.",Mūthemba ūyū wendete tīīri ūtukanīte na mūthanga na ūraikūrūkia maaī wega na ningī no nīwīkaga wega ona gūtarī mbura nyingī.
Its trees are small sized with a well rounded canopy.,Mītī ya Ngowe nī mīnini na mahuti mathondekaga gīthiūrūrī kīega.
The variety is a low land variety and does well in low altitude areas.,Ngowe nī mūthemba wīkaga wega kūndū gūtarī irīma.
The tree has medium yields and alternate bearing may occur.,Mītī ya ngowe ndīkoragwo na magetha maingī na rīngī īgaciara wega kīmera-inī kīmwe kūrī kīrīa kīngī.
The fruits are orange to yellow-coloured when ripe.,Matunda ma ngowe magarūrūkaga rangi meruha magakorwo ma orange na ngoikoni.
They are oblong and slender in shape with a prominent beak.,"Maembe ma ngowe nī maraihu na maceke, na mīthia mīcomoku."
"The Ngowe mango flesh is deep yellow, free from fibre and of excellent quality for use as fresh market and for processing.","Itunda rīa ngowe rīkoragwo na rangi mūthaka wa ngoikoni, rītirī ndigi na nīrīega mono wendia-inī wa thoko cia matunda na kūhūthīka gūthondeka indo ingī."
The variety is moderately tolerant to anthracnose but susceptible to powdery mildew,Mūthemba ūyū nīūhotaga gwītiria hanini mūrimū wa anthracnose no ndūhotaga gwītiria mūrimū wa powdery mildew.
Altitude; 0-800 metres above sea level Harvest Season; November to March Fruit Weight; 425—600 g (mean: 523 g) Fruit Measures; 14 cm long and 9.5 cm wide,"Altitude; mita 0-800 igūrū wa iria, Ihinda rīa Kūgetha; Mweri wa ikūmi na īmwe nginya wa ītatū, ūritū wa maembe; gramu 425-600 (ūritū wa gatagatī: gramu 523) Mūigana wa iembe; ūraihu nī sentimita 14 na wariī nī sentimita 9.5."
"What are the features (yields, average weight and flavor) of Tommy Atkins mango variety?","Nī ngumo irīkū (cia maciaro, ūritū na mūcamo) ikoragwo na maembe mūthemba wa Tommy Atkins?"
Tommy Atkins is an early to mid-season cultivar that is high yielding (400-600 fruits/tree/season).,"Tommy Atkins nī mūthemba ūciaraga matunda maingī mūno, na ūciaraga matunda gatagatī-inī kana kīambīrīria-inī gīa kīmera, na kaingī ūciaraga matunda 400 nginya 600 o mūtī o mwaka."
The tree is large and has a compact rounded canopy.,Mūtīwa Tommy Atkins nī mūnene na nīūtumanagia mahuti na ūthondekaga gīthiūrūrī kīega.
The variety is slightly tolerant to anthracnose disease and is best suited for cultivation in mid altitude areas (800-1600 metres above sea level).,Mūthemba ūyū nīūnyitagwo nī mūrimū wa anthracnose na wagīrīire kūhandwo matūra marīa marī mita 800-1600 igūrū rīa iria.
It bears fruits consistently which matures between Jan-March.,Ūciaraga matunda ūrūmanīrīirīe marīa makūraga gītagatī-inī kīa Janūari na mweri wa ītatū.
The fruits are orange/yellow with a heavy red blush and numerous white lenticels.,Maembe ma Tommy Atkins makoragwo marī ma rangi wa orange kana ngoikoni na mīkurura ya rangi mūtune na tūthundo tūingī twerū.
"Tommy atkins fruits are sweet and fibreless, medium to large sized with an average weight of 522g, oval to oblong shaped (average length 12.6 cm and width 9.9 cm) and a broadly rounded base.","Maembe ma Tommy Atkins makoragwo na camaa na nī marī ndigi, makoragwo marī na ūnene wa gatagatī-inī na ūritū ta wa gramu 522, mūhianīre wa itumbī kana oblong(na ūraihu wa sentimita 12.6 na warīe wa sentimita 9.9) na makoragwo marī na gītina kīariī na gīthiūrūrī."
Altitude; 0-800 metres above sea level Harvest Season; November to March Fruit Weight; 425—600 g (mean: 523 g) Fruit Measures; 14 cm long and 9.5 cm wide Yields; 400-600 fruits/tree/season,"Altitude; mita 0-800 igūrū wa iria, Ihinda rīa Kūgetha; Mweri wa ikūmi na ūmwe nginya wa gatatū, ūritū wa maembe; gramu 425-600 (ūritū wa gatagatī: gramu 523) Mūigana wa iembe; ūraihu nī sentimita 14 na wariīnīsentimita 9.5. Mūtī ūciaraga gatagatī ka maembe 400-600 o kīmera."
"What are the features (yields, average weight and flavor) of Vandyke mango variety?","Nī ngumo irīkū (cia maciaro, ūritū na mūcamo) ikoragwo na maembe mūthemba wa Vandyke?"
Vandyke is a large tree with an open canopy that is best suited for cultivation in mid altitude areas (800-1600 metres above sea level).,"Vandyke nī mūtī mūnene ūtakoragwo na mahuti matumanu, na ūkūraga wega matūra-inī marīa marī mita 800-1600 igūrū wa iria."
It is a mid-season variety that is moderate yielding.,Nī mūthemba ūkūraga gītagatī-inī gīa kīmera na ndūciaraga mūno.
The variety is a regular bearer and comes into bearing in January-March.,Mūthemba ūyū ūciaraga kaingī kwambīrīria Janūari nginya mweri wa gatatū.
"The Van Dyke fruits are small to medium sized, with an oval shape and a prominent beak.","Maembe ma Vandyke nī manini, mūhianīre wa itumbī na mūthia mūcomoku."
"When ripe, they are bright yellow with a heavy crimson blush, covered by numerous yellow/white lenticels.","Marīkia gūkūra, magarūrūkaga rangi makakorwo na ngoikoni īrahenia na mīkurura mītune mīcamu īkūnīkītwo nī tūthundo tūingī twa rangi wa ngoikoni kana twerū."
The fruits are sweet with little fibre and strong a pleasant aroma.,"Maembe ma vandyke makoragwo na mūcamo mwega, matirī ndigi nyingi na nīmarī mūtararīko mūnene mwega."
Altitude; 800-1600 meters above sea level Harvest Season; January to March Fruit Weight; 280 g Fruit Measures; 10.5 cm long and 7.6 cm wide Yields; 28-400 fruits/tree/season,"Altitude; mita 800-1600 igūrū wa iria, Ihinda rīa Kūgetha; Januari nginya mweri wa ītatū, ūritū wa maembe; gramu 280 Mūigana wa iembe; ūraihu nī sentimita 10.5 na wariī nī sentimita 7.6. Mūtī ūciaraga gatagatī ka maembe 28-400 o kīmera."
"What are the features (yields, average weight and flavor) of the Kent mango variety?","Nī ngumo irīkū (cia magetha, ūritū na mūcamo) ikoragwo na maembe mūthemba wa kent?"
"The Kent is a high yielding, late season mango variety that comes into bearing in late season.","Mīembe ya Kent īciaraga mūno, nīguo mūthembe ūrīa ūciaraga kīmera gīgīthira."
The tree has a tendency of alternate bearing.,Mūtī ūyū nīūrī mūtugo wa kwaga gūciara kīmera-inī kīmwe no ūgaciara kīu kīngī.
The tree is large and has an upright canopy.,Mūembe wa Kent nī mūnene na honge ciagwo ikoragwo irūngiī.
The variety is best for growing in mid altitude areas between 800-1600 ASL.,Mūthemba ūyū ūkūraga wega matūra-inī marīa marī mita 800 nginya 1600 igūrū wa iria.
The Kent produces fruits that are large in size.,Mūembe wa Kent ūciaraga matunda manene.
They are oval in shape.,Matunda maya makoragwo na mūhiano wa itumbī.
They are greenish-yellow with a red/crimson blush and numerous yellow lenticels.,Nī ma rangi wa ngirini na ngoikoni na mīkurura ya rangi mūtune na makanyakanya ma rangi wa ngoikoni.
"Some advantages of growing the fruits is because they are sweet, fibreless, strong flavored and have a long shelf life.","Mawega ma gūkūria mīembe ya Kent nīatī nī marī cama, matirī ndigi, mūtararīko mūnene na matithūkaga naihenya"
Altitude; 800-1600meters above sea level,Makūraga wega matūra-inī marīa marī mita 800 nginya 1600 igūrū wa irīa.
Harvest Season;  late February-April,Ihinda rīa kūgetha; mūisho wa mweri wa kerī nginya wa kana.
Fruit Weight; 545g,Ūritū wa iembe; gramu 545.
Fruit Measures; 12.4 cm long and 9.7 cm wide,Ithimo cia iembe; ūraihu nī sentimita 12.4 na ūtungu nī sentimita 9.7.
Yields; 450-800 fruits/tree/season,Maciaro; mūtī ūmwe nīūciaraga maembe 450-800 o mwaka o kīmera.
"What are the features (yields, average weight and flavor) of Keitt mango variety?","Nī ngumo irīkū (cia maciaro, ūritū na mūcamo) ikoragwo na maembe mūthemba wa Keitt?"
Keitt mango variety is a moderately vigorous tree. It has long arching branches and a natural scraggy open canopy.,Mūembe wa keitt ūkūraga wega. Ūkoragwo na honge ndaihu na mahuti matarī matumanu.
The Keitt variety is best suited for cultivation in mid altitude areas.,Mūthemba wa keitt nī mwagīrīru kūhandwo matūra-inī matarī irīma-inī nene.
It is a high yielding and late season variety that bears fruits regularly.,Nī mūtī ūciaraga mūno na ūciaraga kīmera gīgīthira na ningī ūciaraga matunda kaingī.
"The fruits are large sized with an average weight of 456g, plump and oval shaped.","Matunda nī matungu na ūritū wa gramu 456, na mūhano wa itumbī."
"They are greenish-yellow with a red/pink blush and numerous white, yellow or red lenticels.","Nī ma rangi wa ngirini na ngoikoni na mīkurura ya rangi mūtune kana pink na makanyakanya meerū, ngoikoni kana matune."
The flesh is deep yellow juicy and with a little fibre near the seed.,Nyama ya maembe ma Keitt īkoragwo na rangi mūcamu wa ngoikoni na nī īrī ndigi nini hakuhī na gībegū.
Some benefits of the Keitt variety’s is its fair tolerance to anthracnose disease.,Mawega mamwe ma mūembe mūthemba wa keitt nī gwītiria wega mūrimū wa anthracnose.
"In addition, its fruits have a long shelf life.",Ningī matunda magwo nīmaikaraga mūno mateguthūka.
"On the downside, the Keitt fruits are susceptible to sunburn.",Ūru wa matunda ma keitt nīatī nīmahotagwo na makangīa nguraro cia kūhīa nī riūa.
Altitude; 800-1600 metres above sea level,Makūraga wega matūra-inī marīa marīmita 800 nginya 1600 igūrū wa irīa.
Harvest Season;  March-April,Ihinda rīa kūgetha- mweri wa gatatū nginya wa kana.
Fruit Weight; 456 g,Ūritū wa itunda; gramu 456
Fruit Measures; 11.7 cm long and 9.2 cm wide,Itunda nīrīa ūraihu wa sentimita 11.7 na wariī wa sentimita 9.2.
"What are the features (yields, average weight and flavor) of the Apple mango variety?","Nī ngumo irīkū (cia maciaro, ūritū na mūcamo) ikoragwo na maembe mūthemba wa Apple?"
The Apple also known as Maharaja mango variety is a medium yielding and an early season variety.,"Apple, mūthemba ūrīa ūīkaīne ta maharaja, ndūciaraga mūno na ūkūraga tene kīambīrīria-inī gīa kīmera."
It shows a tendency to bear fruits alternately.,Ūkoragwo na mūtugo wa gūciara matunda ūgītīragīria imera imwe.
The tree is large with a pyriform canopy.,Mūembe wa apple nīūnenehaga na ūkarama mwene wa naigūrū.
The variety is is best suited for cultivation in low altitude areas,Mūthemba ūyū ūkūraga wega matūra-inī marīa matarī kūndū gūtarī irīma.
The fruits are medium to large in size with an average weight of 397g and round in shape.,"Maembe ma apple no manenehe na makinyie ūritū wa gramu 397 kana ona makīrīa, na makoragwo na mūhano wa gīthiūrūrī"
The ripe apple mango have a deep yellow/orange to red colour.,Ikoro rīa apple njīīru nī rīa rangi mūgwatu wa ngoikoni kana orange nginya mūtune.
"The flesh is yellow, juicy,fibreless and with excellent flavour.","Nayo nyama ya apple nī ya rangi wa ngoikoni, mūcamo mwega, ndīrī ndigi na nī īrī mūnungo mwega."
The Apple mango variety is susceptible to anthracnose and powdery mildew.,Maembe ma apple nī magūmagīrwo nī mīrimū mīūrū ya Anthracnose na powderly mildew
Altitude; 0-800 metres above sea level Harvest Season; November to March Fruit Weight; 397 g Fruit Measures; 9.7 cm long and 11 cm wide,"Matūra marī mita 0-800 igūrū wa iria, ihinda rīa kūgetha; mweri wa ikūmi na ūmwe nginya mweri wa gatatū, Ūritū wa itunda; gramu 397, Ithimo cia itunda; uraihu wa sentimita 9.7 na wariī wa sentimita 11."
How much water does a mango tree need?,Mūtī wa maembe ūbataraga maaī maigana atīa?
"Well, it all depends on the type of soil, on which you are growing along with the growth of your mango tree.",Kūringanaga na mūthemba wa tīri harīa mūtī wa maembe ūhandītwo hamwe na mūkūrīre wa mūtī.
"Giving frequent water to mango tree, after the plantation, at the time of flowering and fruit bearing stage is the best possible way to get good quality mangoes.","Kūhe mūtī maaī kaingī thutha wa kūhanda, ihinda rīa kūruta mahūa na rīrīa ūrekīra matunda nī njīra njega mūno ya kūhotithia mūtī gūciara matunda mega."
When to irrigate mangoes?,Mītī ya maembe ībatiī kūheo maaī rī?
Young plants require regular watering for proper establishment.,Mītī mīnini ībataraga maaī kaingī nīgetha īkūre wega.
Plants are tolerant to drought after establishment when the tap root reaches water table.,Mīembe nī ītiragia wagi wa maaī yarīkia gūkūra na mūri wa itimū wakinyīra metha ya maaī.
Irrigate when 75% of flowers have set in a tree.,He mīembe maaī gīcunjī kīa mīrongo mūgwanja na ītano harī igana kīa mahua macanūka.
Which are the counties in Kenya where mango can grow?,Nī icigo irīkū cia Kenya ikūragia maembe?
In Kenya 7 out of 8 provinces produce mangoes.,Icigo kana Provincies mūganjwa harī ciothe inyanya nī ikūragia maembe būrūri-inī wa Kenya.
"But the generally arid eastern region produces 61 per cent of all mangoes, followed by Rift Valley at 30 per cent and Coast, which produces 28 per cent.","No gīcigo kīa irathīro gīkūragia gīcunjī kīa mīrongo ītandatū na īmwe harī igana kīa maembe moothe, kīrūmīrīirwo nī gītaro kīa Rift Valley kīrīa gīkūragia gīcunjī kīa mīrongo ītatū harīa igana na gīcūa-inī kīrīa gīkūragia gīcunjī kīa mīrongo īrī na īnana harī igana."
".Coast region is a significant planting county, but improved cultivars now exist in the Makueni county,Meru County, Murang’a County, Nairobi County, Nakuru County, Siaya County, Taita-Taveta County, Tana River County, Tharaka Nithi County, Bungoma County, Kitui County, Embu County, Machakos County, Kiambu County among other regions.","Gīcigo gīa gīcūa-inī nī gīabata mūno ūkūria-inī wa maembe. no mīembe īrīa mīciarithanie rīu nī īrakūrio kauntī-inī cia Makueni, Meru, Murang’a, Nairobi, Nakuru, Siaya, Taita-Taveta, Tana River, Tharaka Nithi, Bungoma, Kitui, Embu, Machakos, Kiambu na icigo ingī."
what is the most important consideration for mango production,Nīkīī kīrī bata mūno makarīa kūrora ūrīmi-inī wa maembe?
Most important considerations for Mango production are a dry period at flowering and sufficient heat during ripening,Maūndū marīa mabata mūno kūrora ūrīmi-inī wa maembe nī hīndī ya riūa mītī īkīruta mahūa na ūrugarī mwega rīrīa maembe mareruha.
What are the main mango fruit seasons in Kenya?,Imera nene cia maembe būrūri-inī wa Kenya cionekaga rī?
Main fruit seasons in Kenya are from November to April and May to July,Imera nene cīa maembe būrūri-inī wa Kenya cīambagīrīria mweri wa ikūmi na ūmwe nginya mweri wa kana na ningī mweri wa gatano nginya wa mūgwanja.
What are the main export countries for mango fruits produce in Kenya?,Nī mabūrūrī marīkū magūraga maembe kwa wūingī kuuma Kenya?
The main export markets for Kenyan mangoes is the Middle East countries,Thoko nene cīa maembe ma Kenya ni mabūrūrī ma gītaro kīa Arabu
What are the various uses of mango fruit?,Maembe mahūthīkaga atīa?
"The fruit can be used as fresh fruit, juice, puree, jam, chutney, pickles, canned or dried","Iembe no rīrīo o rīrī ituda, ngogoyo, puree, jam, chutney, pickels, ya mīkebe kana kūūmithio"
What are the nutritional contents of mango fruit?,ī hīhi maembe mongagīrīra kī thīīnī wa mwīrī?
"The fruit contains almost all known vitamins and many essential minerals including Thiamine, Niacin, Ca, Fe e","ītuda rīa maembe niriongagīrīra hakuhi vitamenī cīothe iria cīuikaine o hamwe na minūru cia bata mwīrī-īnī ta Thiamine, Niacin, Calcium na Iron."
What factors affect the quality of mango fruit?,Ni maudū marīkū mangituma maembe macejie wega wamo?
"scarcity of fibre, sweetness and minimum turpentine taste","ūnyihu wa fibre, mucamo mwega, na unyihu uria munīnī wa mucamo wa turpentine."
What are the common mango varities?,Mīthemba ya maembe īrīa yonekaga kaingī nī īrīkū?
"Kett,apple,VanDyke,kengston,Eden,","Kett,apple,VanDyke,kengston,Eden,"
What are the characteristics of apple mango?,Maūthī ma maembe mūthemba wa Apple nī marikū?
"The fruits are medium to large, nearly round in shape and have a rich yellow/orange to red colour","Matūda maya ni ma ūnene wa gatagatī-ini na nī manenehaga, ni ma gīthiūrūri na rangi wa ngoikoni kana orange na mūtune."
"• The skin is smooth and thin, the juicy yellow flesh has excellent flavour and a melting texture virtually free from fibre","Ngothi ya matuda maya ni nyorokū na ni jeke, juithī ya rangi wa ngoikoni nī rīrī mucamo mwega wa mwanya utari na rītīīrī fibre."
• Average Length: 9.7 cm with a width of 11 cm • Weight: 397g (medium/ large),"Gīthimo kia ūraihu wa gatagatī, sentimita 9.7, warīe wa wa sentimita 11 na urītū wa 397g (medium/ large)"
• Harvesting Periods: Oct to Mar and May to Jul,Matuda maya magethagwo kuuma mweri wa īkūmi nginya wa gatatū na mweri wa gatano nginya wa mugwaja.
What are the advantages of apple mango variety?,Baita maembe wa Apple nī irīkū?
"Early cultivar of excellent fruit quality, small/medium seed size, free from fibres","Ituda riri rīa gikīro kia igūru, mbegu ni ya saizi nini/gatagatī-inī na rītirī fibre."
What ar ethe disaadvantages of apple mango fruit?,Maembe ma Apple makoragwo na maūru marikū?
"Susceptible to Anthracnose and Powdery Mildew, Alternate Bearing, range of altitude adaptation is limited","Nīmanhotagwo mūno ni mīrīmū ta Anthracnose na Powdery mildew, nī ūrūgithagia imera na ndūhotaga kūmenyera matūra mamwe."
What are the charactirstics of kent mango fruit?,Maūthī ma maembe mūthemba wa Kent nī marikū?
"The fruits are large & ovate with a greenish-yellow skin, red or crimson blush shoulders and a rounded base shape","Matuda ma Kent nī manene na ma githiururi na ngothi ya rangi wa kihuti na ngoikoni, ngurura ndune ciande-inī na gītina gīthiūrūrī."
"• The skin is thick and tough with small numerous yellow lenticels; the flesh is juicy, melting, deep yellow, fibreless and of a rich flavour","Ngothi yamo nī ndungu na nyūmū na tūkanyakanya twa rrangi wa ngoikoni, rīrutaga juice īrī cama, na rītīīrī fibre"
• Length: 12.4 cm with a width of 9.7 cm (Large) • Weight: 545 g (Large),ūraihu: 12.4cm na warīe wa 9.7cm (nene). Urītu wa 545g (nene)
"• Advantages: late maturing, fibreless and of excellent internal quality. Fruits ship well","Wega wamo. gūcererwo gūkūra, matirī fibre na nīithaka thīini na ni makuīkaga wega."
What are the advantages of kent mango fruit variety?,Mawega ma mūthemba wa maembe ma Kent nī marīkū?
"late maturing, fibreless and of excellent internal quality. Fruits ship well","gūcererwo gūkūra, matirī fibre na nīmathaka thīini na nimakuīkaga wega."
What are the disadvantages of kent mango fruit variety?,Maūru ma matuda mūthemba wa Kent nī marīkū?
"skin coloration is often inadequate, prone to storage diseases, may exhibit alternate bearing","rangi wa ikoro kaīngi ndūiganaga, nīrīnyitaguo nī mirīmū rīrīa rīīgītwo na nīrītīraga gūciara imera-inī imwe."
What ar ethe characteristics of tommy atkins mango variety?,Mītugo ya mūthemba wa maembe ma Tommy Atkins nī īrīkū?
"The fruits are medium to large, oval to oblong longer than broad, orange/yellow with a heavy red blush, numerous white lenticels and a broadly rounded base","Matuda maya nī ma gatagatī-inī nginya manene, nī magīthiorūrī na marīe, mīkurura ya orange/ngoikoni, tūmakanyakanya twerū na gītina gīthiūrūrī."
• Resistant to anthracnose and powdery mildew,Nī ītiragia mīrīmu ya Anthracnose na Powdery mildew
• The smooth skin is tough and thick,"Ikoro rīa matuda maya nī nyoroku, nyūmū na ndungu."
• Average Length: 12.6 cm with a width of 9.9 cm • Average Weight: 522 g,Uraihu wa gatagatī-inī: 12.6cm na warie wa 9.9cm. Urītu wa 522g
• Early to mid-season cultivar,Mūthemba ūyū ūkūraga tene gītakinyīte gatagatī.
What are the advantages of tommy atkins mango fruit cultivar?,Mawega ma mūthemba wa maembe ma Tommy Atkins nī marīkū?
"very attractive fruits, excellent shipping and shelf-life qualities, consistent producer, good resistance to Anthracnose and Powdery Mildew","Matuda maya nī magucagīrīrīa, ni makuīkaga raithī na nī magīkīro kīa iguru, nī maciaraga wega marūmanīrīirie, ni metiragia mīrīmū ya Anthracnose na Powdery mildew."
What are the disadvantages of tommy atkins  mango fruit variety?,Maūru ma matuda mūthemba wa Tommy Atkins nī marīkū?
"danger of internal breakdown (jelly seed), fibre content is slightly higher than average","Nī magūmirwo nī gūthūka kuuma na thīinī( jelly seed), nī marī fibre nyīngī."
What are the characteristics of ngowe mango variety?,Mītugo ya mūthemba wa maembe ma Ngowe nī īrīkū?
"The fruits are large, slender, oblong longer than broad with a very prominent hook-like beak at the apex","Matuda maya nī manene, maceke, marīī na nī macomoku mīthīanī"
"• The deep yellow flesh is of excellent quality, virtually fibreless, melting, and carries no turpentine taste","Nī ma rangi wa ngoikoni, magīkīro kīa īguru, fibre nī nini na ndīrī mucamo wa turpentine."
• Average Length: 14 cm with a width of 9.5 cm • Weight: 523 g (Large),Uraihu wa gatagatī-inī. 14cm na warīe wa 9.5cm. Urītū wa 523g ( nene)
• Harvesting Periods: November – March,mahida ma kugetha: Mweri wa īkūmi na ūmwe nginya mweri wa gatatū
What are the advantage s of ngowe mango fruit variety?,Ni mawega marīku makoragwo na mūthemba wa maembe wa Ngowe?
"Good to excellent fruit quality, moderate tree size, good shipper, seed propagation possible (polyembryonic),","Nī matuda ma gīkīro kīa iguru, saizī ya gatagatī-inī, nī makuīkaga raithī na ūhurī wa mbeū nīuhotekanaga."
Excellent for processing,Nī mathīīkaga raithī.
What are the disadvantages of ngowe mango fruit variety?,Maūru ma maembe mūthemba wa ngowe nī marīkū?
"Susceptible to Powdery Mildew, tendency of alternate bearing",Ni metiragia mūrimū wa powdery mildew na nīmatīragīria gūciara imera imwe.
What are the characteristics of keitt mango variety?,Mūthemba wa maembe ma Keitt ūkoragwo na mūtugo ūrīkū?
"Large, ovate & plumb, rounded base shape and without a beak.","Nī manene, mūhiano wa oval na gītina gīthiūrūrī na timacomoku."
Average Length: 11.7 cm by 9.2 cm in wide. Weight: 456 g (Large).,Uraihu wa gatagatī: 11.7cm na warīe wa 9.2cm. Urītū wa 456g (nene)
What are the advantages of keitt mango fruit variety?,Ni mawega marīku makoragwo na mūthemba wa maembe wa Keitt?
": Late maturity, good marketing qualities and productivity, fair resistance to Anthracnose","Makūraga macereirwo kīmera-inī, itunda nī ithaka na gūcīara wega, na nīrītiragia mūrīmu wa Anthracnose hanini"
What are the characteristics of van dyke mango variety?,Mūthemba wa maembe wa Van Dyke ūkorago na mūtugo ūrīkū?
"Ovate shape, bright yellow ground colour with a heavy crimson blush and prominent beak.","Maembe me mūhiano wa itumbī, rangi mūcamu wa ngoikoni, mīkurura mīcamu mītune na nī macomoku."
